 ,tweet,"HUMAN CATEGORY
 ARYAMAAN:1-1000,4000-4468
 Michael-Mehmet:1000-4000",SUB CATEGORY,COMMENTS,"NEW HUMAN CATEGORY
 0-1000 /4000-4468 Michael
 1000-2500 Mehmet 
 2500-4000 Aryamaan",SUB CATEGORY,COMMENTS,human category (Tarun),SUB CATEGORY,COMMENTS,NEW CATEGORY,keyword,human - category,human - Sub category,Comment,HUMAN CATGEORY_NEW(ARYA),location,COMMENTS (FROM PARIJAAT),Category,Sub-category
10026,"@qstweet @Bounce_BackLoan Mine completed at around same time with ID. Keep me updated every 12hrs or so. Will update you on my side as well. Iâ€™m calling my case handler every few hrs. Looks like we are in multiple similar applications (HSBC, lloyds)",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,"London, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10035,"@awaislal17 Not sure, Iâ€™ve seen some people waiting a few days. Checkout @TideBusiness tweets to give you an area. Are you hoping for bounce back? Itâ€™s not promising at the minute, I would advise to get tide but also try starling @ HSBC feeder. Follow @Bounce_BackLoan too!",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10063,@SABBBank @HSBC worst international transfers!! 10 plus days and you money doesn't reach your account! Even during normal times. Every time I think its gonna get better but never. Lesson learnt never transfer using sabb.. Try other banks @AlAhliNCB or jazeera,BAD REPUTATION,,long time in international transfer,BAD REPUTATION,,long time in international transfer,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',Worst – bank service,,Riyadh,,{'category': 'Reputation',subcategory': 'Bad reputation'
10075,Got an email at 1am from hsbc saying esign process is complete. Anyone know what happens next? @Bounce_BackLoan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,Customer Query,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,scotland,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10082,@HSBC_UK So it will become a graduate account automatically and then I can change it in the future when I re-enter uni as a postgrad student? Thank you!,General,,reply from customer,General,,reply from customer,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,McDonalds,,{'category': 'Reputation',subcategory': 'Good reputation'
10091,@safari_six @HSBC_UK they will just keep looking at it without resolving the issue. It seems HSBC seems to be showing total indifferent attitude towards customers. Horrible customer care. HSBC not able to transfer money to India for the past two months. I couldn't imagine that HSBC would be so worst,CUSTOMER_SERVICE_ISSUES,,bad customer service,BAD REPUTATION,,bad customer service,,,,,,{'category': 'Reputation',subcategory': 'Bad reputation',attitude towards customer,,,,{'category': 'Reputation',subcategory': 'Bad reputation'
10097,"Thursday is here! Happy morning to all of you, Ziad here to assist you with your queries till 5pm. ^ZS",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,UAE,,{'category': 'Reputation',subcategory': 'Good reputation'
10108,"@Bounce_BackLoan One sentence: ""The number of loans approved in the first week [is] equivalent to the amount we would normally approve over three years"", ie. HSBC",Bounce back loan,Bounce back loan,,General,,Bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,"London, United Kingdom",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10115,"@Bounce_BackLoan Did I mention I love Wales? Particularly Swansea. Best people in the world are in Swansea. Can you tell where my complaints handler is based? Todays HSBC acronym:
 Helpful Swansea Based Chap",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10116,@sbtaxis @Bounce_BackLoan @HSBC_UK Ian.stuart@hsbc.com,General,,bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,"England, United Kingdom",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10123,@Bounce_BackLoan Whatâ€™s the email of this bloody @HSBC_UK CEO ?,General,,bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,"Borth, Wales",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10154,We received our funds but not accesible yet.We sign the contract on 13th.Thank you HSBC.,General,,fund not accesible,DELAY,Delay_in_account_access,fund not accesible,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,,,{'category': 'Reputation',subcategory': 'Good reputation'
10161,"@twinkletoespink @Bounce_BackLoan Hey Emma, sorry for troubles experienced. As the go to guy for hsbc matters. Please have your friend use the following email address;
 
 commercial.executive.complaints@hsbc.co.uk
 
 Urge them to address for attention of CEO office",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,"England, United Kingdom",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10162,"@itsmesagar94 Hello Sagar, thank you for writing into us. In order to assist you we would need more information. Hence, request you to call our phone banking services in regard to your concern, refer the link https://t.co/3lWsL9w5bo ^Barnali",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"Mumbai, India",,{'category': 'Reputation',subcategory': 'Good reputation'
10163,@HSBCUKBusiness youâ€™re refusing my BBL as my wife has one and we share a business name and a joint account. We are each Self Employed! Iâ€™ve submitted HMRC evidence you wanted. #HSBC #bouncebackloans https://t.co/1Pix5bmcQX,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,"Lower Earley, Berks, UK",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10167,@NilanshukHaldar @HSBC @monzo @StarlingBank @Barclays Thanks for sharing! ðŸ™,General,,reply from customer,General,,reply from customer,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"Brighton, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10168,"@AntzKisaragi Morning Anthony. Thanks for the feedback, and sorry to hear about your experience on our website. What issues were you having? Was it not loading correctly? ^Nick",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10170,@MartinSLewis can you please ask @RishiSunak why these #bouncebackloans haven't delivered as promised within days? @HSBC fail still waiting @TideBusiness fail still waiting. I have no income coming in. Food banks seem to be the only thing working for me.,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,Morecambe,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10178,@ernestumuh @Bounce_BackLoan Yes. But Iâ€™m still pushing HSBC to give me the reason why Iâ€™m being refused in writing. As I think itâ€™s their â€˜computer says noâ€™ and they canâ€™t be bothered to get a real human to investigate.,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,"Lower Earley, Berks, UK",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10183,@BinRoundTheBloc Hi there. I'm very sorry that you feel in this way. I am more than happy to have a look for you. Can you DM us your full name including the postcode so we can have a look for you please? Thanks. ^DOM,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10185,"@Haleeem12 Hi Halim, a kind reminder to email us your contact details to hsbcuaehelp@hsbc.com. Thank you. ^ZS",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,UAE,,{'category': 'Reputation',subcategory': 'Good reputation'
10186,"@lil1oftheashes Hi Cindy, a kind reminder to email us your contact details to hsbcuaehelp@hsbc.com. Thank you. ^ZS",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,UAE,,{'category': 'Reputation',subcategory': 'Good reputation'
10187,"@Bounce_BackLoan My friend has been waiting for a HSBC feeder account since the BBL scheme opened- sheâ€™s emailed the ian@hsbc person- no response, phoned etc just told to keep waiting. 
 
 Does anyone have any ideas what she can do to speed it up- hairdresser and obviously in dire straits.",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,South Wales,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10189,@ting_tong22 And plus I'm not really arsed anymore what HSBC do and tbh what they have done to me mentally no bounce back loan will cover it .,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,"Wales, United Kingdom",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10196,"@Bounce_BackLoan Yes, unfortunately I've now missed the boat with HSBC due to hanging around for the people who I actually bank with!",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,Up Or Down,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10215,@japster999 @SammiGore @dominiquetaegon @RishiSunak Good Morning! We have received thousands of applications from business customers for bounce back loans. We are working through them as quickly as possible and will contact all those who have applied in the coming days. ^DOM,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,"London, UK",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10216,@Bounce_BackLoan HSBC hack still working as of yesterday. Emailed yesterday account open this morning.,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10220,"@1CarolineBerry @Bounce_BackLoan Here you go Caroline:
 Ian.Stuart@hsbc.com (HSBC CEO)
 Sally.A.Williams@hsbc.com (Head of UK CEO Office)
 commercial.executive.complaints@hsbc.co.uk",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10221,"@closetrevolut1 @rachblackphoto @Bounce_BackLoan I do not understand why you need a feeder account,I have my money from Hsbc they paid the money to the account I put on the application/it did take two weeks -not 24hâ€™",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,"Leeds, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10224,@Bounce_BackLoan Oh forget hsbc Iâ€™m done with them. Going to write to the CEO of Nat West on behalf of my sister.,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10225,"@BethBakerWyse Let's start with taking some details, and then I can get some information into what's happening. Can you please click on the link below to start DM and share your full name and post code, so I can check? Thanks. ^Ank. https://t.co/OCvB5tjRBZ",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10229,@Bounce_BackLoan Good morning. Iâ€™ve waited three weeks for hsbc to call me back. Nothing. Iâ€™m giving up. My sister has been waiting for two weeks with Nat West - any info or help with that one?,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10230,@TSB Thanks Lesley even Hsbc have started issuing full authorisation contactless cards now https://t.co/yxULo4XwL9,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"North West, England",,{'category': 'Reputation',subcategory': 'Good reputation'
10239,"@ruthpwasb I'm sorry again for the inconvenience. Please send me the details of the issue along with your full name and postcode in DM (direct message), using the link below. Thanks! ^Kashif https://t.co/OCvB5tjRBZ",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10244,"@HSBC_UK No I didnâ€™t, they hung up on me! Iâ€™m really disappointed in your service atm. Iâ€™m on hold again, but if I canâ€™t resolve this itâ€™ll mean a 25 mile round trip to my nearest branch, unless you can give me a direct dial number for Truro.",BAD REPUTATION,,no response,BAD REPUTATION,,no response,,,,,,{'category': 'Reputation',subcategory': 'Bad reputation',Disappointed customer (atm issue),,Cornwall,,{'category': 'Reputation',subcategory': 'Bad reputation'
10246,"@ruthpwasb Hi Ruth, I'm sorry for the inconvenience. I hope you managed to speak to someone. Can I help you with something? Thanks! ^Kashif",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10249,"@Bounce_BackLoan Really not a clue today what to do,hsbc account holder on this business for 12 yrs.Bbl in my account since Monday still not available finds as forms not arrived. Hsbc call me i have direct email and still nothing. It will be a month on Monday im at the end of my line ðŸ˜¥",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,Derby,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10252,"@KatNyc1 Thanks Kat, 
 
 received the DM &amp; have replied to you on that. I'll keep in touch. ^ Ish",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10257,@Bounce_BackLoan if I join tide waiting list - will it affect my HSBC application?,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,Customer Query,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10262,"@HSBC_UK Thank you
 Iâ€™ve sent DM
 Iâ€™m quite concerned about being able to run a reliable account with this bank if nothing works outside of 9-5
 despite dozens of attempts",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,UK,,{'category': 'Reputation',subcategory': 'Good reputation'
10263,@HSBC_UK Thanks Alison what is the timeframe for the dispute to be resolved.,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,London,,{'category': 'Reputation',subcategory': 'Good reputation'
10266,"@HSBC_UK Thanks Nick, impressed with HSBC help. A dispute has been raised and I believe the team are investigating on my behalf. Thank you!",General,,reply from customer,General,,reply from customer,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, England",,{'category': 'Reputation',subcategory': 'Good reputation'
10269,@MalcolmDGama04 Hello Malcolm. Thanks for your message. Best option is to give us a ring on 03456 080 848 and select option 3 from Mon - Fri: 7:30am - 9:30pm Sat: 10am - 4pm. An agent from the investment team will be able to help you! I hope this helped! ^DOM ðŸ˜Š,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10270,@WayfairFleetLtd @Bounce_BackLoan @susansolakart @LloydsBank Not a chance! I've been told today could be months before feeder account is opened by HSBC. So I'm stuck between waiting between @HSBCUKBusiness and @TideBusiness #Despair #Stressed,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,"Great Yarmouth, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10282,"@GetMiloaLife Of course, Milo. We proudly took part in the BBC Big Night In, in support of BBC Children in Need &amp; Comic Relief. With thanks to our amazing customers &amp; colleagues, we raised over Â£1.4m, helping vulnerable people across the UK impacted by coronavirus.",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10283,"@dorothy_coates Hello there Dorothy. I'm very sorry that you had this experience with us. Can you please provide your full name and post code via DM. This information will be passed onto our Customer Care team, who will come back to you on our next working day.Thanks! ^DOM",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10285,"@SaamSUFC That's right Sam! This is scam. If you wish to report it, you can send a screenshot to phishing@hsbc.co.uk.Thanks for sharing! ðŸ‘ ^ZAR",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10299,"@BarneyR82640547 @Bounce_BackLoan I have a business bank with tide, I knew they would do something like this, I think you will be best off with HSBC they will take a lot of time but you will eventually get the loan :/",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,United Kingdom,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10300,"@mrstugboat @Bounce_BackLoan So,.the links are on the BBL page, but in short you open a personal Halifax account and use ths sort and acc no.s from that to open the Lloyd's business account (same group) once you get the Lloyd's acc you can apply for BBL. It's worth exploring. Have you done the HSBC feeder?",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,"Chester, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10301,"@KatNyc1 Hi Kat,
 
 I can only apologise at the moment for the delay in communication due to the current situation.
 
 However, I can check for updates on your application. Can you please send your full name &amp; post code via a private message?
 
 Click the below link to enable PM. ^ Ish https://t.co/OCvB5tjRBZ",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,Customer Service Response,,customer service reply,,,,,,Delay,subcategory': 'Delay in bounce back loan',,,"London, UK",,{'category': 'Delay',subcategory': 'Delay in bounce back loan'
10302,"@mathewderric Hello Mr. Derric, thank you for confirming the SMS is sent. The concerned team will contact you soon. We appreciate your patience. ^Nilesh",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"Mumbai, India",,{'category': 'Reputation',subcategory': 'Good reputation'
10303,@Bounce_BackLoan Good to hear. However it is not good news for one of my businesses. We are having to put it into liquidation. The monies have simply run out having running costs each month of over 10K and no income since early March. Set up HSBC feeders on Wed 27th. 3 weeks too late.,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10309,"@HSBC_UAE Saw I some unusual activity on my card from the transaction texts, and as I was calling you I got a call from you checking if it was me. Impressive. Thanks!",General,,reply from customer,General,,reply from customer,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,,,{'category': 'Reputation',subcategory': 'Good reputation'
10314,@Bounce_BackLoan I just had a call from HSBC - from Lisa (forget surname) who had been passed my message. Not sure if from the Ian email I sent or message I sent under complaint on online banking. Wanted second email address 4 husband I put on form. Said had done this b4! Said will get form 2day,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10315,"@Bounce_BackLoan applied for an @HSBC_UK feeder on the 5th May (day 2 of launch!!!!) and have had nothing of substance yet. Also on the @StarlingBank 'list' but again, nothing of substance. Worth trying the Halifax to Lloyds hack at this point or not???",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,"Cranfield, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10316,"@liammcgroartyuk Hi Liam ðŸ™‚. Thank you for choosing us to bank with, we look forward to welcoming you to HSBC! ðŸŽ‰. Under the current circumstances, a Branch visit will not be necessary. Please head over to https://t.co/Riwh63cTcH and apply from there. ^Alison.",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10321,"I want to thank @Bounce_BackLoan for its support; yesterday we finally received our BBL funds from HSBC. It required 2 loan agreements, 23 days, hours on hold, a complaint and an email to the CEO. But we got there in the end!",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,"Brighton, UK",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10322,"@AlexBar33000679 @__villematic92 @Bounce_BackLoan This may be why it was closed unfortunately, I was going to apply with them when HSBC had me balls deep in stress mode but then I saw they are only considering sole traders :/ call them and clarify?",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,United Kingdom,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10323,@LawOfBTC @Bounce_BackLoan Any updates on HSBC mate?,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,Customer Query,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,United Kingdom,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10324,"@mrmthomas2 @rachblackphoto @Bounce_BackLoan Are you an LTD or self employed? I am an LTD and my business bank was with Tide, maybe you were self employed and banked through a personal hsbc account? I'm not quite sure but that's the only thing I can think of",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,United Kingdom,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10333,"@HotFloppy_Bread Hi, thanks for getting in touch with us. I'll make sure this information is passed on to the branch manager to review why this happened. ^Lucy",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10337,HELLO @HSBC @HSBC_UK @HSBCUKBusiness why am I still waiting for my #bouncebackloan now more than 3 weeks since I applied!! Can anybody help @MartinSLewis @IFAMagazine @financialombuds #notgoodenough #helpsmallbusinesses #SMEs #covid #financialsupport https://t.co/euG42ReGkn,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,Newark,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10341,@CraftyTimmy Social Media no for sure. IP call shouldn't be a problem but it still depends on your provider. Thanks! ^Kashif,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10344,"@mandyjbond Oh no! I'm sorry to hear that, Amanda. We can have this looked into for you, and check if the correct account was credited. Please call us on 03457 404404 and we'll be more than happy to help. ^Nick",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10347,"@Dt7861 Hi there, let me look into this for you and help accordingly. Please send me your full name and post code in DM (direct message), using the link below. Thanks! ^Kashif https://t.co/OCvB5tjRBZ",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10349,@Bounce_BackLoan think I iz scared off the CEO's of HSBC no more replies looks like no one is at home ðŸ™„ðŸ™„,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10361,"@MJR19731 Hi there, I'm extremely sorry for the inconvenience. I can understand that the hold/wait time is longer than normal due to the impact of current situation. We will not be able to arrange a call back. Your patience and understanding is highly appreciated. Thanks! ^Kashif",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
10362,"@JackGulston Thank you, Jack. We will review the matter and revert to you with an update shortly. Have a great weekend ahead. ^KS",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,UAE,,{'category': 'Reputation',subcategory': 'Good reputation'
10364,@Bounce_BackLoan Have I already mentioned to you that Swansea is my most favourite place ever? People that work for HSBC in Swansea are known to be particularly handsome and virile lovers. Just saying...,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10367,"@HSBC_UK Hi, I have been locked out of my mobile banking account on my iPhone. However, I don't have a secure key. How can I reset my details? Thank you",Customer Query,,query,Customer Query,,query,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,Colchester/Exeter,,{'category': 'Reputation',subcategory': 'Good reputation'
10374,@beckley_family @Bounce_BackLoan @HSBC_UK Can you acces them? Is showing available balance but when I enter is Balance 0??? Any ideea why???When I can access them???,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,Customer Query,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
10377,@HSBC_UK I received this msg today. Pls can you confirm whether it's authentic or not. Thank you. https://t.co/OB9e4HDDd7,Customer Query,,query,Customer Query,,query,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',,,,,{'category': 'Reputation',subcategory': 'Good reputation'
